order_id,customer_name,date,product,quantity,amount
2009,Nancy Liu,2026-02-25,Widget C,5,124.50
2003,Jack Brown,2026-02-08,Widget D,3,100.50
2008,Jack Brown,2026-02-08,Widget D,3,100.50
2006,Leo Garcia,2026-02-14,Widget A,4,99.96
2001,Henry Park,2026-02-03,Widget B,2,59.98
2004,Henry Park,2026-02-03,Widget B,2,59.98
2010,Oscar Hill,2026-02-28,Widget A,2,49.99
2005,Karen White,2026-02-11,Widget C,2,49.80
2007,Mia Taylor,2026-02-19,Widget B,1,29.99
2002,Iris Chen,2026-02-05,Widget A,1,24.99
